Discipline,FC Number,MDD-HC,BIP-HC,SCZ-HC,Combined ES,Title,Net1,Net2,Net3,SigNum,MetaES
,44,0.119,0.238,0.332,0.001,Lt_CONa_Temp-Rt_DMNb_AntTemp,-0.118833105,-0.238490262,-0.33165775,0,-0.231043626
,45,0.008,0.048,0.068,0.001,Lt_CONa_Temp-Rt_DMNb_PFCd,-0.007501132,0.048036326,-0.067597355,0,-0.010264004
,46,0.039,0.032,0.210,0.001,Lt_CONa_Temp-Rt_DMNb_PFCv,-0.038598809,-0.03236101,-0.209729575,0,-0.094903157
,47,0.259,0.135,0.094,0.001,Lt_CONa_Temp-Rt_DMNc_IPL,0.259126591,-0.134760369,-0.094248804,0,0.009258289
,48,0.110,0.116,0.128,0.001,Lt_CONa_Temp-Rt_DMNc_Rsp,0.110330689,-0.116126861,-0.1277619,0,-0.045788013
,49,0.192,0.122,0.230,0.001,Lt_CONa_Temp-Rt_DMNc_PHC,0.191999048,-0.122447591,-0.22979166,0,-0.054467819
,50,0.048,0.026,0.097,0.001,Lt_CONa_Temp-Lt_DANa_TempOcc,-0.048222724,-0.025821542,-0.097452594,0,-0.061820948
,51,0.000,0.015,0.245,0.001,Lt_CONa_Temp-Lt_DANa_ParOcc,2.44E-05,0.015400699,-0.244812082,0,-0.077557169
,52,0.056,0.017,0.165,0.001,Lt_CONa_Temp-Lt_DANa_SPL,-0.056195661,0.017429674,-0.164624194,0,-0.069143458
,53,0.102,0.109,0.080,0.001,Lt_CONa_Temp-Lt_DANb_TempOcc,0.101921606,0.109354489,0.080401404,0,0.096553245
,54,0.067,0.095,0.236,0.001,Lt_CONa_Temp-Lt_DANb_PostC,0.067489172,0.09512831,-0.236359344,0,-0.025690643
,55,0.184,0.197,0.147,0.001,Lt_CONa_Temp-Lt_DANb_FEF,0.183863326,0.19672747,-0.147439407,0,0.077142258
,56,0.198,0.211,0.113,0.001,Lt_CONa_Temp-Lt_DANb_PrCv,0.197627806,0.211105668,-0.112800225,0,0.098103194
,57,0.271,0.105,0.036,0.001,Lt_CONa_Temp-Rt_DANa_TempOcc,0.271429256,0.105445425,0.036190259,0,0.136089489
,58,0.001,0.032,0.179,0.001,Lt_CONa_Temp-Rt_DANa_ParOcc,0.001022443,-0.03209719,-0.179254295,0,-0.071798372
,59,0.067,0.045,0.127,0.001,Lt_CONa_Temp-Rt_DANa_SPL,0.067163371,0.044812998,-0.127051731,0,-0.006843318
,60,0.010,0.005,0.272,0.001,Lt_CONa_Temp-Rt_DANb_TempOcc,0.009696783,0.005483309,-0.271589832,0,-0.087057679
,61,0.075,0.147,0.093,0.001,Lt_CONa_Temp-Rt_DANb_PostC,0.075415848,0.146848824,-0.093088524,0,0.042043257
,62,0.115,0.120,0.156,0.001,Lt_CONa_Temp-Rt_DANb_FEF,0.115250297,0.11972699,-0.156239086,0,0.025171572
,63,0.063,0.086,0.285,0.001,Lt_CONa_Temp-Rt_DANb_PrCv,-0.062678871,0.085813728,-0.284860255,0,-0.087416637
,64,0.090,0.154,0.221,0.001,Lt_CONa_Temp-Lt_LMN_TempPole,0.090317032,-0.154129491,-0.221279944,0,-0.095930513
,65,0.049,0.224,0.146,0.001,Lt_CONa_Temp-Lt_LMN_OFC,-0.049032526,-0.223906732,-0.145516713,0,-0.140556366
,66,0.031,0.159,0.190,0.001,Lt_CONa_Temp-Rt_LMN_TempPole,-0.031244972,-0.158518819,-0.189729437,0,-0.128180323
,67,0.049,0.101,0.186,0.001,Lt_CONa_Temp-Rt_LMN_OFC,-0.049313486,-0.100686967,-0.185980116,0,-0.113673398
,68,0.308,0.216,0.160,0.001,Lt_CONa_Temp-Lt_SVNa_ParOper,0.308054147,0.215587563,-0.159548516,0,0.120563412
,69,0.074,0.320,0.075,0.001,Lt_CONa_Temp-Lt_SVNa_PrCv,0.074474008,0.320190474,-0.074863084,0,0.10669279
,70,0.284,0.249,0.057,0.001,Lt_CONa_Temp-Lt_SVNa_Ins,0.283958207,0.249120906,-0.056765297,0,0.158117845
,71,0.198,0.100,0.262,0.001,Lt_CONa_Temp-Lt_SVNa_ParMed,0.197611989,0.099531733,-0.262152264,0,0.010803344
,72,0.040,0.186,0.048,0.001,Lt_CONa_Temp-Lt_SVNa_FrMed,0.040329915,0.186248405,-0.047837667,0,0.059624292
,73,0.097,0.183,0.162,0.001,Lt_CONa_Temp-Lt_SVNb_IPL,0.096504457,0.182686231,0.161629873,0,0.152370839
,74,0.126,0.280,0.089,0.001,Lt_CONa_Temp-Lt_SVNb_PFCl,-0.125852123,0.279864194,-0.088588189,0,0.022389342
,75,0.123,0.163,0.119,0.001,Lt_CONa_Temp-Lt_SVNb_PFCv,0.123481646,0.162716259,-0.118644812,0,0.055407022
,76,0.098,0.059,0.175,0.001,Lt_CONa_Temp-Lt_SVNb_OFC,0.098190235,-0.058870372,-0.174573821,0,-0.045937427
,77,0.213,0.083,0.200,0.001,Lt_CONa_Temp-Lt_SVNb_PFCmp,-0.213144102,0.083330213,-0.199763903,0,-0.109339593
,78,0.226,0.159,0.091,0.001,Lt_CONa_Temp-Rt_SVNa_ParOper,0.226210127,0.159255545,-0.090587547,0,0.097255435
,79,0.026,0.113,0.016,0.001,Lt_CONa_Temp-Rt_SVNa_PrC,0.026080336,0.113232888,-0.015746738,0,0.040697332
